A,MOBILE,00:28:29,8.84,$4.77,3168811,CHADEMO,RFID,1,1535768703,1535770412
A,MOBILE,00:31:18,22.02,$11.89,3168847,CHADEMO,CREDITCARD,2,1535770996,1535772874
A,MOBILE,00:00:18,0,$0.0,3169011,CHADEMO,RFID,3,1535779483,1535779501
A,MOBILE,00:36:04,23.8,$11.66,3169015,CHADEMO,RFID,4,1535779563,1535781727
A,MOBILE,00:31:17,9.87,$4.84,3169054,CHADEMO,RFID,5,1535782079,1535783956
A,MOBILE,00:31:16,11.19,$5.48,3169208,CHADEMO,CREDITCARD,6,1535792075,1535793951
A,DEVICE,00:31:18,15.85,$7.77,3169245,CHADEMO,RFID,7,1535794096,1535795974
A,DEVICE,00:27:51,13.89,$6.81,3169286,CHADEMO,CREDITCARD,8,1535796123,1535797794
A,MOBILE,00:24:59,11.68,$5.72,3169354,CHADEMO,CREDITCARD,9,1535800399,1535801898
A,DEVICE,00:19:05,10.24,$5.02,3169391,CHADEMO,CREDITCARD,10,1535803055,1535804200
A,DEVICE,00:31:16,12.53,$7.14,3169411,CHADEMO,CREDITCARD,11,1535804885,1535806761
A,MOBILE,00:14:21,0.57,$0.32,3169433,CHADEMO,CREDITCARD,12,1535806872,1535807733
A,DEVICE,00:41:58,28.13,$16.03,3169486,CHADEMO,CREDITCARD,13,1535811047,1535813565
A,MOBILE,00:07:50,5.52,$3.15,3169508,CHADEMO,RFID,14,1535814569,1535815039
A,DEVICE,00:00:18,0,$0.0,3169515,CHADEMO,CREDITCARD,15,1535815181,1535815199
A,DEVICE,00:00:18,0,$0.0,3169516,CHADEMO,CREDITCARD,16,1535815283,1535815301
A,MOBILE,01:08:24,44.18,$25.18,3169519,CHADEMO,CREDITCARD,17,1535815533,1535819637
A,DEVICE,02:32:47,62.26,$33.62,3169644,CHADEMO,CREDITCARD,18,1535844571,1535853738
A,MOBILE,01:00:13,27.98,$15.11,3169785,CHADEMO,CREDITCARD,19,1535856268,1535859881
A,MOBILE,00:40:12,20.78,$10.18,3169953,CHADEMO,RFID,20,1535865876,1535868288
A,DEVICE,00:00:17,0,$0.0,3170042,CHADEMO,CREDITCARD,21,1535872308,1535872325
A,DEVICE,00:00:18,0,$0.0,3170043,CHADEMO,CREDITCARD,22,1535872363,1535872381
A,MOBILE,00:28:30,4.35,$2.13,3170074,CHADEMO,CREDITCARD,23,1535874485,1535876195
A,MOBILE,00:00:11,0,$0.0,3170138,CHADEMO,RFID,24,1535878460,1535878471
A,MOBILE,00:00:10,0,$0.0,3170140,CHADEMO,RFID,25,1535878575,1535878585
A,MOBILE,00:00:10,0,$0.0,3170142,CHADEMO,RFID,26,1535878659,1535878669
A,MOBILE,00:00:10,0,$0.0,3170147,CHADEMO,RFID,27,1535878751,1535878761
A,MOBILE,00:00:10,0,$0.0,3170149,CHADEMO,RFID,28,1535878797,1535878807
A,MOBILE,00:00:10,0,$0.0,3170151,CHADEMO,RFID,29,1535878876,1535878886
A,MOBILE,00:31:17,11.86,$5.81,3170213,CHADEMO,CREDITCARD,30,1535883415,1535885292
A,MOBILE,00:23:16,9.39,$4.6,3170255,CHADEMO,RFID,31,1535886331,1535887727
A,MOBILE,00:26:57,13.2,$7.52,3170391,CHADEMO,CREDITCARD,32,1535903098,1535904715
A,DEVICE,00:18:43,8.09,$4.61,3170409,CHADEMO,CREDITCARD,33,1535904983,1535906106
A,MOBILE,01:18:01,34.38,$18.57,3170427,CHADEMO,CREDITCARD,34,1535908476,1535913157
A,MOBILE,00:13:52,7.59,$4.1,3170615,CHADEMO,CREDITCARD,35,1535942724,1535943556
A,DEVICE,01:24:43,11.93,$6.44,3170656,DCCOMBOTYP1,CREDITCARD,36,1535944639,1535949722
A,DEVICE,00:18:41,11.29,$5.53,3170777,CHADEMO,CREDITCARD,37,1535953256,1535954377
A,MOBILE,01:00:19,21.35,$10.46,3170830,CHADEMO,RFID,38,1535956474,1535960093
A,DEVICE,01:11:53,46.59,$22.83,3170963,CHADEMO,CREDITCARD,39,1535965958,1535970271
A,MOBILE,01:04:27,41.88,$20.52,3171022,CHADEMO,CREDITCARD,40,1535970441,1535974308
A,MOBILE,00:31:17,9.79,$5.58,3171150,CHADEMO,CREDITCARD,41,1535981923,1535983800
A,MOBILE,00:51:24,19.72,$11.24,3171172,DCCOMBOTYP1,CREDITCARD,42,1535984295,1535987379
A,MOBILE,00:31:17,12.11,$6.9,3171190,CHADEMO,RFID,43,1535987933,1535989810
A,MOBILE,00:51:35,34.58,$18.67,3171821,CHADEMO,RFID,44,1536027250,1536030345
A,MOBILE,00:00:05,0,$0.0,3172037,CHADEMO,CREDITCARD,45,1536035880,1536035885
A,MOBILE,00:24:27,12.65,$6.2,3172039,CHADEMO,CREDITCARD,46,1536035934,1536037401
A,MOBILE,00:30:09,4.24,$2.08,3172427,CHADEMO,RFID,47,1536051120,1536052929
A,MOBILE,00:55:59,28.87,$14.15,3172534,CHADEMO,RFID,48,1536056029,1536059388
A,DEVICE,00:31:17,15.62,$7.65,3172649,CHADEMO,RFID,49,1536061962,1536063839
A,MOBILE,00:31:17,14.18,$8.08,3172793,CHADEMO,CREDITCARD,50,1536077968,1536079845
A,MOBILE,01:59:20,46.21,$24.95,3173060,CHADEMO,CREDITCARD,51,1536104822,1536111982
A,MOBILE,00:28:45,9.28,$5.01,3173463,CHADEMO,RFID,52,1536116637,1536118362
A,DEVICE,00:22:53,7.67,$3.76,3173539,CHADEMO,CREDITCARD,53,1536120169,1536121542
A,MOBILE,00:25:25,14.99,$7.35,3173587,CHADEMO,RFID,54,1536121640,1536123165
A,MOBILE,00:10:48,1.42,$0.7,3173632,CHADEMO,RFID,55,1536123341,1536123989
A,MOBILE,00:15:21,7.98,$3.91,3173661,CHADEMO,RFID,56,1536124292,1536125213
A,MOBILE,00:31:47,23.39,$11.46,3173717,DCCOMBOTYP1,RFID,57,1536125989,1536127896
A,MOBILE,01:01:47,45.55,$22.32,3173983,CHADEMO,CREDITCARD,58,1536138532,1536142239
A,MOBILE,00:31:17,13.99,$6.86,3174054,CHADEMO,CREDITCARD,59,1536142577,1536144454
A,MOBILE,00:28:17,12.2,$5.98,3174098,CHADEMO,RFID,60,1536145131,1536146828
A,DEVICE,01:28:32,16.39,$9.34,3174161,DCCOMBOTYP1,RFID,61,1536148814,1536154126
A,MOBILE,00:31:17,20.63,$11.76,3174227,CHADEMO,RFID,62,1536154255,1536156132
A,DEVICE,00:11:11,7.79,$4.44,3174258,CHADEMO,CREDITCARD,63,1536157171,1536157842
A,MOBILE,00:38:24,12.42,$7.08,3174271,DCCOMBOTYP1,CREDITCARD,64,1536158095,1536160399
A,DEVICE,00:05:28,4.03,$2.3,3174294,CHADEMO,CREDITCARD,65,1536160569,1536160897
A,MOBILE,01:07:29,43.04,$24.53,3174306,CHADEMO,RFID,66,1536163579,1536167628
A,MOBILE,00:18:56,8.24,$4.45,3174365,CHADEMO,CREDITCARD,67,1536173475,1536174611
A,MOBILE,00:31:17,9.93,$5.36,3174972,CHADEMO,RFID,68,1536201498,1536203375
A,DEVICE,00:31:17,10.32,$5.57,3175058,CHADEMO,CREDITCARD,69,1536205460,1536207337
A,DEVICE,00:00:10,0,$0.0,3175309,CHADEMO,CREDITCARD,70,1536213330,1536213340
A,DEVICE,00:10:02,7.29,$3.57,3175356,CHADEMO,CREDITCARD,71,1536214942,1536215544
A,MOBILE,00:05:28,3.01,$1.47,3175416,CHADEMO,CREDITCARD,72,1536217652,1536217980
A,MOBILE,00:31:43,18.61,$9.12,3175458,CHADEMO,CREDITCARD,73,1536219203,1536221106
A,MOBILE,00:13:47,8.34,$4.09,3175599,CHADEMO,CREDITCARD,74,1536225739,1536226566
A,MOBILE,00:27:00,11.97,$5.87,3175620,CHADEMO,RFID,75,1536226784,1536228404
A,MOBILE,00:12:58,7.25,$3.55,3175655,CHADEMO,RFID,76,1536228813,1536229591
A,MOBILE,01:13:24,47.98,$23.51,3176598,CHADEMO,CREDITCARD,77,1536233179,1536237583
